period,period_start,period_end,imd_decile,deprivation_label,sex,le,hle,hle_pct,unhealthy_years
2019 to 2021,2019,2021,7,Decile 7,Male,80.8,65.7,81,15.099999999999994
2019 to 2021,2019,2021,7,Decile 7,Female,84.3,67.2,80,17.099999999999994
2019 to 2021,2019,2021,8,Decile 8,Male,81.4,67.1,82,14.300000000000011
2019 to 2021,2019,2021,8,Decile 8,Female,84.7,68.5,81,16.200000000000003
2019 to 2021,2019,2021,9,Decile 9,Male,82.0,68.6,84,13.400000000000006
2019 to 2021,2019,2021,9,Decile 9,Female,85.3,69.1,81,16.200000000000003
2019 to 2021,2019,2021,10,Least deprived,Male,83.0,70.4,85,12.599999999999994
2019 to 2021,2019,2021,10,Least deprived,Female,86.1,70.3,82,15.799999999999995
2020 to 2022,2020,2022,1,Most deprived,Male,72.6,51.4,71,21.2
2020 to 2022,2020,2022,1,Most deprived,Female,77.7,50.3,65,27.40000000000001
2020 to 2022,2020,2022,2,Decile 2,Male,74.9,55.9,75,19.000000000000007
2020 to 2022,2020,2022,2,Decile 2,Female,79.6,54.8,69,24.8
2020 to 2022,2020,2022,3,Decile 3,Male,76.6,59.0,77,17.599999999999994
2020 to 2022,2020,2022,3,Decile 3,Female,81.0,59.1,73,21.9
2020 to 2022,2020,2022,4,Decile 4,Male,77.9,60.3,77,17.60000000000001
2020 to 2022,2020,2022,4,Decile 4,Female,82.1,61.1,74,20.999999999999996
2020 to 2022,2020,2022,5,Decile 5,Male,79.1,62.8,79,16.299999999999997
2020 to 2022,2020,2022,5,Decile 5,Female,83.0,62.9,76,20.1
2020 to 2022,2020,2022,6,Decile 6,Male,80.1,64.4,80,15.699999999999989
2020 to 2022,2020,2022,6,Decile 6,Female,83.6,64.2,77,19.39999999999999
2020 to 2022,2020,2022,7,Decile 7,Male,80.6,65.4,81,15.199999999999989
2020 to 2022,2020,2022,7,Decile 7,Female,84.2,66.2,79,18.0
2020 to 2022,2020,2022,8,Decile 8,Male,81.4,67.0,82,14.400000000000006
2020 to 2022,2020,2022,8,Decile 8,Female,84.6,67.9,80,16.69999999999999
2020 to 2022,2020,2022,9,Decile 9,Male,81.9,68.4,84,13.5
2020 to 2022,2020,2022,9,Decile 9,Female,85.2,68.6,81,16.60000000000001
2020 to 2022,2020,2022,10,Least deprived,Male,83.0,70.2,85,12.799999999999995
2020 to 2022,2020,2022,10,Least deprived,Female,86.1,70.0,81,16.099999999999994
2021 to 2023,2021,2023,1,Most deprived,Male,72.8,50.2,69,22.599999999999994
2021 to 2023,2021,2023,1,Most deprived,Female,78.0,48.8,63,29.200000000000003
2021 to 2023,2021,2023,2,Decile 2,Male,75.3,54.8,73,20.5
2021 to 2023,2021,2023,2,Decile 2,Female,79.9,54.2,68,25.700000000000003
2021 to 2023,2021,2023,3,Decile 3,Male,76.9,58.3,76,18.60000000000001
2021 to 2023,2021,2023,3,Decile 3,Female,81.3,57.4,71,23.9
2021 to 2023,2021,2023,4,Decile 4,Male,78.2,60.7,78,17.5
2021 to 2023,2021,2023,4,Decile 4,Female,82.3,60.7,74,21.599999999999994
2021 to 2023,2021,2023,5,Decile 5,Male,79.3,62.1,78,17.199999999999996
2021 to 2023,2021,2023,5,Decile 5,Female,83.2,62.9,76,20.300000000000004
2021 to 2023,2021,2023,6,Decile 6,Male,80.3,63.8,79,16.5
2021 to 2023,2021,2023,6,Decile 6,Female,83.8,64.4,77,19.39999999999999
2021 to 2023,2021,2023,7,Decile 7,Male,80.8,63.9,79,16.9
2021 to 2023,2021,2023,7,Decile 7,Female,84.3,64.6,77,19.700000000000003
2021 to 2023,2021,2023,8,Decile 8,Male,81.6,66.1,81,15.5
2021 to 2023,2021,2023,8,Decile 8,Female,84.9,66.3,78,18.60000000000001
2021 to 2023,2021,2023,9,Decile 9,Male,82.1,67.7,82,14.399999999999991
2021 to 2023,2021,2023,9,Decile 9,Female,85.4,67.6,79,17.80000000000001
2021 to 2023,2021,2023,10,Least deprived,Male,83.2,70.0,84,13.200000000000005
2021 to 2023,2021,2023,10,Least deprived,Female,86.3,69.1,80,17.200000000000003
2022 to 2024,2022,2024,1,Most deprived,Male,73.2,49.8,68,23.40000000000001
2022 to 2024,2022,2024,1,Most deprived,Female,78.3,48.2,62,30.099999999999994
2022 to 2024,2022,2024,2,Decile 2,Male,75.7,54.1,71,21.6
2022 to 2024,2022,2024,2,Decile 2,Female,80.4,55.1,69,25.300000000000004
2022 to 2024,2022,2024,3,Decile 3,Male,77.3,56.9,74,20.4
2022 to 2024,2022,2024,3,Decile 3,Female,81.6,56.9,70,24.7
2022 to 2024,2022,2024,4,Decile 4,Male,78.7,60.1,76,18.6
2022 to 2024,2022,2024,4,Decile 4,Female,82.7,58.5,71,24.200000000000003
2022 to 2024,2022,2024,5,Decile 5,Male,79.7,62.2,78,17.5
2022 to 2024,2022,2024,5,Decile 5,Female,83.5,61.8,74,21.700000000000003
2022 to 2024,2022,2024,6,Decile 6,Male,80.5,62.8,78,17.700000000000003
2022 to 2024,2022,2024,6,Decile 6,Female,84.1,63.8,76,20.3
2022 to 2024,2022,2024,7,Decile 7,Male,81.2,64.0,79,17.200000000000003
2022 to 2024,2022,2024,7,Decile 7,Female,84.6,64.9,77,19.69999999999999
2022 to 2024,2022,2024,8,Decile 8,Male,81.8,65.5,80,16.299999999999997
2022 to 2024,2022,2024,8,Decile 8,Female,85.1,65.4,77,19.69999999999999
2022 to 2024,2022,2024,9,Decile 9,Male,82.4,66.8,81,15.600000000000009
2022 to 2024,2022,2024,9,Decile 9,Female,85.5,67.4,79,18.099999999999994
2022 to 2024,2022,2024,10,Least deprived,Male,83.6,69.2,83,14.399999999999991
2022 to 2024,2022,2024,10,Least deprived,Female,86.4,68.5,79,17.900000000000006
